Header,Rating,Review,Product
work as,5.0,want we could use from our phone regardless if we are home or not thi is it can be but onc out you must set a switch for time you want it to turn on or off switch on at 5 00 switch on at 14 00 and so on it s in militari time and use the 2 network but it work like a charm and it s nice have a smart timer,"Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
i can to turn on or off my light,5.0,thi product well and veri fast and it took me a few to out how to use it these plug are small and i can use it in differ room the main reason that i bought thi product caus i m lazi thi plug help me a lot i can to turn on or off my light and i m think of buy more to give my brother i think he will love it,"Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
smart plug,5.0,ha to read through the instruct and download app to find out how thi item work it is to use after you get to know it turn ani off or on with swipe of your phone screen how that save on power bill special on ac good enough for most need outlet nice item,"Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
so to control home,5.0,thi is my second time buy a smart plug and thi ha a wifi function i can control use my phone well the other one came with control but i have to bring a control thi is so and use,"Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
set up,5.0,got six of these two and place them around our hous set up wa a snap and they re work through my echo dot so now i control all the light in the live room with my good deal recommend,"Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
it s work great,5.0,it s great to have extra usb charger on the side for my aquarium it also abl to time by time for turn on and off i don t have to turn on and off my aquarium light manual great add for hous use too,"Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
my 3rd time to buy the smart plug i thi is real use,5.0,my 3rd time to buy the smart plug i thi is real use to all your i includ the tv box camera and lamp thi brand have an 5v 2 which is quit use,"Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
smart and power,5.0,never i have so much power in the hous until i set up all 3 of the plug it s so to set up and the usb charger is ice on the cake now i felt i m the owner of the hous,"Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
i bought a lot of wifi socket recent,5.0,i bought a lot of wifi socket recent bought new band of wifi it is veri to control all kind of use thi kind of socket also ha a usb port ad more use,"Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
thi come with 3 smart plug and them all can connect with your,5.0,veri combo to make your home smarter thi come with 3 smart plug and them all can connect with your use it but in one same app good one,"Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
thi smart plug is to use,5.0,thi smart plug is to use use mobil phone app can control the switch and time function the time function can also work when it is no connect network veri,"Smart Plug, Works With Alexa & Google Assistant, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, No Hub Required Easy Connection With Amazon Echo Google Home(3 PACK)"
