Header,Rating,Review,Product
smart living 👍🏻👍🏻,5.0 ,"I’m a big fan of smart living, been using wemo smart plugs and i really love the convenience. But i been very annoy that wemo smart plug is fairly large and sometime (depends how your outlet set up) it might take up both of my outlet space so I decided to get the mini size one. while browsing for info about wemo mini, this 3 pack deal comes into my search and the price caught my eye; this dailycomb smart plugs only cost less than 1/2 of the wemo mini so i decide to give it a try since everyone tried to use this kind of smart plug will know, you will not just get one and just use the only one ;) so instead of spending over $100 for 3, so i went with it. **been using the plugs for about 3 weeks, they are steady and i found the operation of these plugs are actually MUCH easier than Wemo cause the wifi setup for wemo sometime is real pain; for this one you just need to follow the instruction (have clear english instruction, i believe is not google translate), download the app, hook up wifi and they are good to go! like it has extra usb so i can charge my devices while using it, only downside about these plugs are the plastic feels pretty thin, unlike wemo they do feel study. but this doesn’t effect the basic function of the plugs**","Smart Plug, Works With Alexa & Google Home, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, Easy Connection With TP-Link WeMo Netgear Router (3 PACK)"
Nice smart plugs,5.0 ,"I really like the idea of smart plug. I have one want. It works great but the size is too big. It took away two outlet spaces. And it's a little pricy. I looked specifically for smartplugs with rectangular shape which won't block other outlets when plugs in. This is the one I want. A pack of three really give me control on multiple devices. The app is easy to set up and control different devices well. My only complaint is the prints on the instruction manual is so tiny. Basically, the app needed is called BrightFun. I just downloaded from app store and follow the instruction in the app and it's ready to go. No need to read the tiny prints.","Smart Plug, Works With Alexa & Google Home, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, Easy Connection With TP-Link WeMo Netgear Router (3 PACK)"
Quality smart plugs,5.0 ,"The 3 pack smart plugs come in a box with 3 individually packaged plugs, which you can keep all for yourself or give a few away as a present. I used a smart plug to control my WiFi bulb, and connected the plug with my echo dot through Alexa. Now the WiFi is off when the family is sleeping; I suppose it is good for your health. It’s nice that the plug has a USB charging port that can power one more equipment at the same time.","Smart Plug, Works With Alexa & Google Home, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, Easy Connection With TP-Link WeMo Netgear Router (3 PACK)"
Setup is very easy and they work flawlessly so far,5.0 ,"Bought these Wi-Fi Plug Outlet to pair with Amazon Echo. Setup is very easy and they work flawlessly so far. My lamp is not near my bed, I'm now able to turn the the lamp on and off without getting out of bed. I just tell Alexa to do it. Loving that this mini plug take up less space on my outlet, it didn't block the outlet next to it. I will update after further use.","Smart Plug, Works With Alexa & Google Home, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, Easy Connection With TP-Link WeMo Netgear Router (3 PACK)"
takes time but works,5.0 ,"spent a good amount on it. It turned out to be working nicely which means everything . The pic in the instruction is somewhat miss-leading. The app name is BrightFun not that Chinese characters. It did not work for me at the begining since the device is showed offline. Some lesson learnt here: although it may say not connect successfully, the devise still show up in the app. This will not working while u try to connect to the Alexa. Only when it is successfully linked to the smartlife app, Alexa will work. Otherwise, Alexa will accept yr commend but do nothing.","Smart Plug, Works With Alexa & Google Home, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, Easy Connection With TP-Link WeMo Netgear Router (3 PACK)"
I can easy to turn on or off my light,5.0 ,"This product package well and arrived very fast! And it took me a few minutes to figure out how to use it. These plugs are small and I can use it in different rooms. The main reason that I bought this product cause I'm lazy,this plug help me a lot,I can easy to turn on or off my light. And I'm thinking of buy more to give my brother , I think he will love it.","Smart Plug, Works With Alexa & Google Home, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, Easy Connection With TP-Link WeMo Netgear Router (3 PACK)"
smart plug,5.0 ,"has to read through the instruction,and download app to find out how this item work.it is easy to use after you get to know it.turn any eletranic off or on with swipe of your phone screen.how that easy.save on power bill,specially on ac.3pack good enough for most need outlet.nice item","Smart Plug, Works With Alexa & Google Home, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, Easy Connection With TP-Link WeMo Netgear Router (3 PACK)"
So Convenient to control home,5.0 ,This is my second time buying a smart plug and this has a WiFi function! I can control using my phone. Well the other ones came with controllers but i have to bring a controller everywhere. This is so convenient and useful.,"Smart Plug, Works With Alexa & Google Home, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, Easy Connection With TP-Link WeMo Netgear Router (3 PACK)"
Don't use the Brightfun App!,4.0 ,"The instructions say to use the Brightfun App, but it wouldn't connect to my Alexa/ Echo Dot. The Smart life app works just fine. you don't need the other! I love that I can schedule on and off times and also tell Alexa to turn them off and on whenever.","Smart Plug, Works With Alexa & Google Home, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, Easy Connection With TP-Link WeMo Netgear Router (3 PACK)"
"My 3rd time to buy the smart plug, because I realized this is real useful ...",5.0 ,"My 3rd time to buy the smart plug, because I realized this is real useful to manage all your electricity - I automated everything, include the TV/Box/Cameras and lamps. This brand have an 5V 2.1AUSB, which is quite useful.","Smart Plug, Works With Alexa & Google Home, USB Charger (5V 2.1A), DAILYCOMB Wi-Fi Mini Smart Outlet With Timing Function, Easy Connection With TP-Link WeMo Netgear Router (3 PACK)"
