Header,Rating,Review,Product
good but in need of minor improv,4.0,work fine exactli as describ but it could easili be better first one need the code for the individu unit to know which button to press thi is mark in tiney number on an obscur label i solv thi by mark each unit with a black marker in larg numer secondli use it in a normal duplex receptacl block to lower one even though the unit onli use the upper one for exampl if i want to use it to switch a lamp but leav anoth applianc plug in for continu power i cannot do it thi is more difficult for me to solv but i did use a hacksaw i slice off the lower part of the round case tangenti at the circular piec of plastic that is the bezel for the plug thi is not pretti but is damag noth function in the unit with a littl less attent to style and more to function the manufactur could have easili solv thi problem again it work as describ,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
perfect for when you just realli realli realli don t want to get out of bed,4.0,these remot control outlet are fantast pro realli easi to set up take less than 30 second to set up each one rang on the remot control is better than advertis and they work without direct line of sight even though these thing work even better than expect i m knock off one point for the two con below neither of which is a huge deal just a littl inconveni con these remot control outlet are just a littl too big so if the other plug you are tri to fit in a share wall outlet is anyth other than just a simpl plug it won t fit the batteri are a weird size i m not sure what they re actual call but they re kind of half length aaa like i say not a big deal but not the kind of thing you d probabl just have lie around when it come time to replac the batteri tip the remot control ha a veri basic design and in the dark it s hard to tell which is the top and which is the bottom i ve found that tie an elast band or a hair band around the bottom see photo is handi for know which way is up when you re fumbl around in the dark,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
some review critic clarif,5.0,thi is a review of the etekc 5 pack self learn wireless remot control outlet light switch with 2 remot although it is possibl that i receiv a differ or updat model i thought i should correct or rebut some of the misinform that i read in other review after read all of the review on thi product i nearli didn t buy it for a few of those reason but my unit arriv in perfect condit and perform flawlessli batteri sever comment were made about the batteri batteri compart my compart open and close easili the batteri went right in with no troubl although i did have to insert it straight into the compart with no tilt in either direct my unit came with two batteri one for each remot on off button sever review said that the on off button were actual just one button and that if you push the on or off button the unit would just go to the opposit state in other word push button 1 on or off could be use to turn the devic on and off thi is not the case with my unit if i push the on button the devic turn on and if i push it again the devic still stay on the onli way to turn a devic off is to push the off button just as it is label switch size yep the switch is big i am use all five switch for variou holiday light in our home in two of those case i wa abl to use anoth two prong plug in the second outlet below the devic in anoth case i had a three prong plug that i wa use in the spare outlet which had to be reloc as it would not fit after instal the remot switch but veri easi to just add the remot switch into a short extens chord and the problem is solv i bought the pack of 5 short chord exactli for thi reason rang all five of my devic are on the first and second floor of our home so to test for rang i went into our basement and back to the furthest wall away from the devic they all work fine i would estim that i wa between 40 to 60 feet away from all five devic and had to go through at least one floor and a few wall overal impress my overal satisfact with thi product is veri high right now everyth work exactli as the manufactur describ after the holiday most of these unit will be reloc to my basement workshop where they will be subject to much higher load and more demand use i will use one on a dust collector about 12 amp draw one on a vacuum and even one on a strobe light so my wife can summon me if she need to without me cut my hand off if she yell at me to come to dinner i will think of mani use for thi great product i will tri to rememb to post my experi after a few month of use updat 8 9 2014 well although the unit work fine for mani applic that requir about 10 amp or less they would not work for my 1 5 hp dust collector thi wa to be expect as they make no claim that it will support high load they do work for mani other thing though like the strobe light that i mention abov so now my wife just hit a button upstair and my strobe light in the basement let me know she need me to come up my opinion of thi product is still veri high and i may be order anoth set soon,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
one fault but etekc correct the issu,5.0,i ve sinc acquir anoth set of these and they all seem to function fine addit beyond that the remain 4 that were function out of the first set have been cycl daili via rpi for about 4 month now it s reason to assum that out of the countless number of these made that i receiv a faulti one fortun etekc took it upon themselv to correct the issu howev i would strongli encourag buyer to cycl them on and off a few time to make sure that there aren t ani issu befor you depend on them,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
they re ok,3.0,these wireless remot electr outlet will do the job howev due to the design of the outlet they were not my first choic i have use wood wireless remot electr outlet throughout my home in the past but i could onli find a set of a maximum of 3 wood outlet on amazon wood are a much more sleek and well design product i have one etekc remot outlet in use in the master bedroom behind the bed i need 5 remot outlet in my great room to control led light as well as two lamp and so i decid to give the etekc 5 outlet a tri when you plug your applianc into the etekc outlet in thi case a lamp into the front of the etekc outlet the etekc bodi will either cover the top wall outlet when plug into the bottom of the wall outlet or if you plug the etekc outlet into the top wall outlet you may find it difficult to use the bottom wall outlet if you were to want to use the bottom outlet for someth like a vacuum cleaner or ani other applianc that ha a larg plug in the case where i need to have two of the etekc outlet in the same locat i had to use one of my better outlet strip that had wide space of the outlet becaus of the size of the etekc outlet will they do the job absolut will they do the job better than a wood product for my applic no but they are better than noth,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
work well and good for more than light,5.0,out of the 5 one had someth rattl around in it and i didn t want to take it apart to see what it wa and risk void the warranti after contact the seller i wa given a discount for the odd one so i felt i could open it and see it is a good thing i did becaus it wa a metal clip that could have caught between the plug blade slot and short out we remov it complet and other than that it work fine i am use 2 of them outsid one run a mercuri vapor yard light that i onli use a short time everi night and don t have a switch indoor to control it the switch and light are out in the barn so i turn it on with the remot befor go out it is about 30 feet from the hous i need to drop the receiv down to a more clear line sinc the 3rd wall it ha to go through sometim make it hard to get lit the second one we use on a pond pump so we can turn it on and off from in the hous we turn it off at night dure the winter it is hook to a small light tree that we turn on at night 2 are be use in the hous one to control a light and one to control a fan that bring heat upstair from a wood stove the one on the light is use a lot and i have the second remot in the bedroom so i can leav the live room light on until i am in bed then i shut it off from in there i can also turn on that light befor get up in the morn the 5th one is a floater i use it here and there as need right now it is run an electr fenc for winter moos control that we sometim have to turn off while watch certain tv channel becaus of interfer thi way we can turn it off and on without go outsid in the cold and dark and un plug it i have not tri ani of the other program thing you can do with these sinc we don t need that capabl so i can t say anyth about how they work or don t these work well and i am happi with my purchas if i need more i would not hesit to buy them again the pictur show the littl clip that wa loos insid of one of them and what is insid of the unit have 2 remot control is veri handi,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
thi is perfect for my depart 56 villag that i have on,5.0,thi is perfect for my depart 56 villag that i have on a high shelf i wa use a lamp timer but when we would get a storm our electr would alway go out and then the timer would be all mess up on the time with thi when it get dark i just have to hit on on the romot and on come the light on the hous and when i go to bed then click the promot off and it s all good plu i have 2 other plug to use on light love thi invent,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
i gener like thi product,1.0,i gener like thi product my problem is that i bought 2 set that appar do not work togeth when you watch the etekc video they clearli state pair unlimit remot to unlimit outlet and vice versa howev when i receiv both set they have differ 4 diget code on the back one set is 1136 and the other 1122 i tri set up the set and program all 4 remot the same way howev onc you teach one code remot the command for each button the differ code remot forget it it ha been veri frustrat to get both of these differ code set to work togeth i doubt there is a way for amazon to send me 2 set with the same code so i will return one and onli to be abl to autom half of what i wa plane,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
how to cancel or unlearn,4.0,overal we like thi product the document describ the learn process and mention cancel but doe not describ how to unpair an outlet from a given remot button etekc did repli to my question on thi with the follow info we apolog for the poor instruct unfortun pair are store in the outlet unit so you would need to reset ani outlet that are pair to the 2nd remot to do thi remov the outlet from the socket press and hold the learn button and then plug the outlet back in while hold the learn button keep hold it until the light flash sever time quickli then you can re pair the outlet as desir,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
couldn t be handier,5.0,i just instal these to replac a less expens set of a differ brand after discov that they were caus fire from read review here on amazon com where i origin bought my old set these appear to be more substanti and they have more channel which are programm etekc s unit work perfectli for my need without need to chang anyth or program right out of the box i did need to swap a few cord around to accommod their larger size receiv but feel much more trust of their power rate and safeti i have some mobil issu so be abl to control light and fan from a distanc is a huge and posit factor in my life the remot are simpl and self explanatori so there s no learn curv of hidden function to rememb the requir batteri are suppli in the kit replac 12 volt batteri can be bought here on amazon com for a substanti save over what i can get local,"Etekcity Wireless Remote Control Electrical Outlet Switch for Household Appliances, Wireless Remote Light Switch, White (Learning Code, 5Rx-2Tx)"
