Header,Rating,Review,Product,asin
works great,5.0 ,"Works great, not sure why there negative reviews. One thing I did notice that I did not see in any documents is that you MUST connect to its wifi to setup. not your normal home one. just search for wifis on your phone, select it, and continue with the app. Love the ability to remotely shut down my 3d printer and computer","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Great Product - Highly Recommend,5.0 ,"If you have any electrical device that you want to turn on remote or while you are not at home, I highly recommend this product. As long as you have WiFi this product will make make your day more efficient by not having to worry about forgetting to turn on a device when you get homeor not being able to reach a difficult switch to power something. The HomeMate app is very useful and intuitive. This product is also highly suitable for the elderly especially if they have difficulties with mobility. I use to power my cat cameras so I can turn them on when I am at work to check in on them and then turn it off when I am done so I can save money on electricity bills. You can also use it for lights when you wake up in the morning and can’t find the light switch.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Awesome product at a great price!,5.0 ,"I rarely write reviews, but these are really fantastic! Inexpensive, work exactly as advertised, iPhone app is pretty impressive too. Nice to turn on all the decorations, salt lamp, etc with a single touch, or set the timer and they turn on/off at a schedule. Really well thought out product. Good job!","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
DOES Support Echo / Alexa,4.0 ,"Great smart plug. Easy installation and works right off the bat. It DOES support Echo and Alexa but does not support Google home which is a bit disappointing. I have both in my home. But if you only have Alexa, it works great.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
"Works great, save on energy costs",5.0 ,"Works fantastic! Easy 4 step setup. App is very intuitive. My kids leave the basement lights on all the time. With this, I shut off the lights at night before bed and save on energy costs. Slick little gadget. Highly recommend!","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Works Great!,5.0 ,Easy setup with free app.Works consistently and reliably.great start to smart home equipment.,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Five Stars,5.0 ,A++++,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Awesome!,5.0 ,I love zettaguard products. This thing is so cool - being able to control items remotely! Love it!,"ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Very easy to set up,5.0 ,"Works very well, right out of the box. Very easy to set up, and I was pleasantly surprised that it worked from outside my wifi network.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Smart Plug,5.0 ,"Works as described. Very easy to use with app. I like this plug. More features given the affordable price. Worked first time out of the box. I can turn my bedroom light on while in bed, or at work. You can set timers, actions, or just a normal on/off switch. The actions are great because you can have the action work for an individual switch, multiple switches, or all switches. It is very reliable and maintains its wifi connection. Needs an app called ""HomeMate” in the App store for the iPhone and Google Play store for the Android. Download the app, register for an account and you are ready to start. Insert the Smart Plug into an outlet. In the app, click on add a device. Connect to device wifi, Press the button on the Smart Plug to make it flash and press next in the app. Enter your Wi-Fi and password in the app and press next. If everything is entered correctly, it should find your plug and show the name. You can rename the device at this time to something that makes sense for you. Click done in the app. You can now turn outlet on and off from the app. It works only with 2.5ghz band Wifi network and as really very low data transfer speed is all required. Lights can be scheduled to tun on or off while no one is at home. Also, I can turn on or turn off the lights through my cell phone from just about anywhere you travel with the App which is linked to these smart plugs. Really useful to control the floor lamp by using the phone apps.","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
Control Your House From Your Device,5.0 ,"I bought this in hopes to remind me not to work too long as an entrepreneur, I'm used to 6 AM - 2 AM work schedules. This now turns my light on when I need to wake up (All around my bed,) and turns off exactly at midnight, so I get some sleep. (Finally!) I've tried the timing task as shown in the video as a test, it's pretty neat, I've also tried to turn off the light from another room as a test, (in case I one day forget.) So this is a must keep for my lamps/lights! I love that it prevents overcharging, and cuts the power after the timer is over. It can have up to 20 devices to control the Wi-Fi socket, but I only use it for my bedroom lamps. It says it also can be used for fans, air-conditioning, charging, lights, coffee, etc. I personally like to get my coffee when I need it, not at a timed manner, but I might have to try that for the morning! The best part about it is the set up, it took literally less than 2 minutes for my lamp. 1.) You plug it in the socket, and you plug in the lamp into the Smart Socket 2.) You press the button on there until it blinks red, and press next or confirm on your phone (forgot what it said.) 3.) Connect to your home wifi, and... DONE! Oh yeah I forgot, you have to download an app called HomeMate, but that's no issue either. I'm in absolute love with this! I would recommend this to anyone and everyone for whatever your reason is ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)","ZettaGuard S25 Wi-Fi Smart Socket Outlet US Plug, Turn ON/OFF Electronics from Anywhere, White (HomeMate-App)",B06W2NDRQ4
