Header,Rating,Review,Product
five stars,5.0,i ve been installing these in my house a well a a few buddy for home automation a few note on these if your looking to automate your home this is the best device i ve seen for z wave i personally have been using smartthings a a note to those who are looking to do ha as others have noted led is on by default but is easily changed i changed my to on only when the light is on the bedroom because i didn t want the light to shine in the room during the night however in the kitchen i have the led on when the light is on and v by far these switch are going to run you about 10 more than the competition but your going to save some time and effort with this switch the box come with the neutral wire which most do not and it a pain to make your own all the time given unlike the others out there your house wire plug into the switch this is an advantage for sure since you don t need wire nut likewise if your short on room in a box this is perfect the others out there have wire coming off the back of the switch and add more of a mess inside the electric box if you like this review please indicate so by clicking the box below,"GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721"
good but check your wiring,5.0,you need to check your wiring before ordering these these switch require 3 wire load line and neutral some of my light switch box do not have a neutral and our electrician could not get the switch to work called the company to confirm apparently lowes ha some z wave switch which do not require the neutral wire i m giving a 5 star since it is not the fault of the switch just do not want someone else to run into my difficulty,"GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721"
i now have a number of these working well,5.0,add on comments may 26 2016 it s been over a year now since i installed this and i must say the set up ha worked flawlessly my garden light come on and because it s based on sunset time i never have to adjust for seasonal change or daylight saving time change the way i would have to with those pesky clock timer that come with the garden light transformer i had one instance where a rain storm tripped the gfic and i texted my house keeper to hit the re set on the gfic and all wa good i have also one of these receptacle control a robotic web cam that ha worked really well also a i use it to re boot the webcam from canada if i needed to i ve done this 2x in the past year sometimes i need to check or confirm something late at night and i can turn on the garden light and have a look around with the webcam the led set up is dope i get the equivalent of 300 watt of lighting using only 1 10 the power i will deploy more of these at another house for a similar set up truly allows great control and flexibility in a vacation home my original review perfect installation wa a breeze paired no problem on my schlage nexia z wave network i put a gfci before it put it in a nice bubble cover hubbell mm2420c now i can script and remotely control my garden light malibu 8301 9601 01 50 watt cast metal flood lights black matte in coastal fl i am doing this from canada the light come on 15 minute before sunset and shut off at 11pm the light are running sunthin mr 16 5 watt led s driven by a 60 watt ledwholesalers led power suppply driver transformer 120 to 12 volt dc output water resistance 60 watt 3204 12v most of the previously mentioned item have been purchased through amazon a one order i love it when everything come together,"GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721"
easy to install,5.0,i wa amazed at how easy this wa to install the instruction are clear and the terminal are well labeled it even came with the neutral wire i installed one in the garage to control my coach light via wink and alexa it is so nice having the light on a programmed schedule now using the dimmer i can dial down the brightness with either the switch or my mobile app,"GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721"
works great when the household wiring allows installation,4.0,i am told by my installer that there are 7 accepted way to wire switch to light but only 1 of which is compatible with z wave so for now we re limited to where we can install these switch which of course is not where i prefer to have them installed we are still researching if anyone ha any advice please leave a comment so i can have the switch installed and update this review my recent immersion into z wave wa the trane tzemt400bb3nx n n sl home energy management thermostat with nexia home intelligence white z wave and the schlage fe599grnx cam 619 acc 619 keypad lever home security kit with nexia home intelligence satin nickel z wave however i learned from a customer service rep at nexia that only powered component thermostat light switch outlet etc will act a repeater and battery operated component entry door lock dead bolt motion sensor will not act a a repeater hence the cause of my dropped connection to my thermostat and he highly recommended i add more powered component to my network thanks justin hence i ordered a small pile of these switch that i now unfortunately cannot use due to the wiring in my home in the single location we were able to install one of these switch it s working great using my nexia account the driveway light now turn out automatically 30 minute prior to dusk and turn off at a preset time then during the preset off time until a preset time in the morning the switch is part of a scene activated when there is motion detected on the driveway and then sends u an alert email and text message after a no motion message is passed back to the system this switch is then sent a message to again turn off but only during those very late night hour i have yet to see an off the shelf light that could be programmed to do this elaborate programming very nifty the quality of this switch is superb the functionality is superb but i m docking a star due to the lack of feasibility in many wiring configuration,"GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721"
probably the best option for z wave smart switch,4.0,great product i replaced over a dozen switch in my home to enable voice command using the wink hub and amazon echo i chose the ge smart switch since it support 3 way configuration where you have more than one switch that control the same light fixture and us z wave technology a opposed to a vendor specific offering like lutron caseta i love the blue indicator light easy to see in the dark that illuminates whenever the light is off attaching and removing electrical wire to and from the switch is simple just tighten the corresponding screw no soldering the ground wire or fumbling a push in style switch to release the wire not sure if that make the connection le secure though be aware the switch is larger than a standard toggle switch though so it take up more space in the box and leaf le room for all the wire you may have to spend some time arranging the wire before screwing in the switch or cram really hard i did that once and the neutral wire detached from the screw nut i also had to repeatedly remove all the side bar the three prong that stick out on the side to get them to fit next to each other but presumably they re useful in certain installation and wa only annoying because i had more than a dozen to install the dimmer function itself is also a little sub optimal if you re accustomed to a slider to control the brightness for the smart switch it s variable depending on how long you toggle the switch how long you hold the on or off position and that can result in what feel like a slight delay between the time you press the button to when the light dims or brightens,"GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721"
i am not sure why others have bashed this a,5.0,i am not sure why others have bashed this a not being well made it is typical construction with a very heavy aluminum front plate the screw for clamping the wire were typical construction and allowed normal tightening without stripping fyi be sure you read the instruction and take note about the pairing distance of 10 or le the short pairing distance is the design of the z wave interface not a problem with this device if you are pairing this to a fixed alarm panel or similar device you may need to power it up with an extension cord and place it near the z wave host for pairing once you have registered it with the host you can power it down then install it in the switch box,"GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721"
these are an excellent way to save from having to purchase a bunch,4.0,these are an excellent way to save from having to purchase a bunch of smart led light and instead just change the outlet for example say you have a living room with six can light if you bought six hue bulb so you can remotely control the light with your phone you would need to spend 60 bulb x 6 with this outlet you need just one outlet note the outlet i am reviewing is only an on off and doe not have a dimmer function see dimmer smart switch which is 10 more than the standard the reason i only gave it 4 5 star is due to it huge size and amount of real estate it take up in the switch box it ll be just fine if you are installing it in a stand alone box but if you are trying to install it a shared box you will not only have trouble but run out of room quickly the box say you can bend the side metal plate and then provides amp instruction for maximum amount of amp but my electrician tell me that s a bad idea a they need room on the side i know there are a lot of review complaining about the different look of the switch sticking out horizontal rather than at an angle but the reason for this is the switch is always active for use by a person in location touching the switch or remotely e g by a phone the smart bulb for example always have to be on and if i have one installed on a floor lamp and the lamp is switched off i cannot control the light remotely from my phone for example however with this outlet even if they have manually been turned off you can still control them remotely from my phone or ipad for example since the switch is always on hence the reason it s always in the middle position overall very happy with the product and plan to order many many more given space in my box,"GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721"
this wa very easy to install and then add to my smartthings network,5.0,this wa very easy to install and then add to my smartthings network had it up and running in very short order i like that using this outlet allows me to set smartthings to automatically turn on my living room light at sunset and then turn it off at 11pm i used to use a plug in timer and it wa a pain to keep adjusting the on time a the time it get dark varies day to day it s also nice if i want it on to say echo turn on the living room light,"GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721"
z wave beaming relay help tie multiple distant z wave items together,4.0,i bought this because of it s beaming feature i didn t really need a light but i had several z wave deadbolt in my house that were located to far away from one another to complete the z wave mesh network since they re battery powered lock they need a device with beaming feature to serve a a relay hub and this fit the bill nicely as others mentioned it s a little tricky to install just because it need three wire where many switch will only have two a third neutral connection is required since the switch itself need to be powered in addition to switching the load off and on to whatever you re actively switching pairing it with my vera controller wa something of a pain and i had to consult a few web forum it seems the initial connection can be hard to make but once it s made it stick just fine it took me probably 10 12 attempt just repeating the pairing process over and over again until my vera unit flashed it leds at me indicating a proper handshake after the initial setup however the switch ha performed exactly a expected i have it turning an exterior porch light off and on per scene definition in vera my initial reason for buying it to serve a a hub relay for my z wave deadbolt worked great too where i had several too far away to consistently report into vera with this in the mix i get solid connection to them all,"GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721"
