Header,Rating,Review,Product,asin
Five Stars,5.0 ,"I've been installing these in my house as well as a few buddies for home automation. A few notes on these... If your looking to automate your home, this is the best device I've seen for z-wave. I personally have been using Smartthings as a note to those who are looking to do HA. As others have noted, LED is on by default but is easily changed. I changed my to on only when the light is on the bedroom because I didn't want the light to shine in the room during the night. However, in the kitchen, I have the LED on when the light is on and vs. By far, these switches are going to run you about $10 more than the competition. But your going to save some time and effort with this switch. The box comes with the neutral wire which most do not and its a pain to make your own all the time given. Unlike the others out there, your house wires plug into the switch. This is an advantage for sure since you don't need wire nuts. Likewise, if your short on room in a box, this is perfect. The others out there have wires coming off the backs of the switch and add more of a mess inside the electric boxes. if you like this review, please indicate so by clicking the box below.","GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721",B0013V1SRY
Good but check your wiring,5.0 ,"You need to check your wiring before ordering these. These switches require 3 wires: load, line, and neutral. Some of my light switch boxes do not have a neutral and our electrician could not get the switch to work. Called the company to confirm. Apparently Lowes has some z-wave switches which do not require the neutral wire. I'm giving a 5 star since it is not the fault of the switch - just do not want someone else to run into my difficulties.","GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721",B0013V1SRY
I now have a number of these working well,5.0 ,"ADD-ON COMMENTS MAY 26, 2016 - It's been over a year now since I installed this and I must say the set up has worked flawlessly. My garden lights come on and because it's based on sunset times, I never have to adjust for seasonal changes or daylight savings time changes, the way I would have to with those pesky clock timers that come with the garden light transformers. I had one instance where a rain storm tripped the GFIC and I texted my house keeper to hit the re-set on the GFIC and all was good. I have also one of these receptacles control a robotic web cam. That has worked really well also, as I use it to re-boot the webcam from Canada if I needed to. I've done this 2x in the past year. Sometimes I need to check or confirm something late at night and I can turn on the garden lights and have a look around with the webcam. The LED set up is dope! I get the equivalent of 300 watts of lighting using only 1/10 the power. I will deploy more of these at another house for a similar set-up. Truly allows great control and flexibility in a vacation home. MY ORIGINAL REVIEW: Perfect, installation was a breeze, paired no problem on my Schlage Nexia z-wave network. I put a GFCI before it, put it in a nice bubble cover (Hubbell MM2420C) now I can script and remotely control my garden lights (Malibu 8301-9601-01 50 Watt Cast Metal Flood Lights, Black Matte) in coastal Fl. I am doing this from Canada. The lights come on 15 minutes before sunset and shut off at 11PM. The lights are running Sunthin MR-16 5 watt LED's, driven by a 60 watt Ledwholesalers LED Power Suppply Driver Transformer 120 to 12 Volt DC Output, Water Resistance, 60 Watt, 3204-12V. Most of the previously mentioned items have been purchased through Amazon as one order. :-) I love it when everything comes together.","GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721",B0013V1SRY
Easy to install,5.0 ,I was amazed at how easy this was to install. The instructions are clear and the terminals are well labeled. It even came with the neutral wire. I installed one in the garage to control my coach lights via Wink and Alexa. It is so nice having the lights on a programmed schedule now. Using the dimmer I can dial down the brightness with either the switch or my mobile app.,"GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721",B0013V1SRY
Works GREAT... when the household wiring allows installation,4.0 ,"I am told by my installer that there are 7 accepted ways to wire switches to lights, but only 1 of which is compatible with Z-Wave. So for now we're limited to where we can install these switches which of course is not where I prefer to have them installed.... we are still researching, if anyone has any advice, please leave a comment so I can have the switches installed and update this review. My recent immersion into Z-Wave was the Trane TZEMT400BB3NX N N SL Home Energy Management Thermostat with Nexia Home Intelligence, White (Z-Wave) and the Schlage FE599GRNX CAM 619 ACC 619 Keypad Lever Home Security Kit with Nexia Home Intelligence, Satin Nickel (Z-Wave) . However I learned from a customer service rep at Nexia that only powered components (thermostat, light switches, outlets, etc) will act as repeaters and battery operated components (entry door lock, dead bolt, motion sensor) will not act as a repeater, hence the cause of my dropped connections to my thermostat and he highly recommended I add more powered components to my network (Thanks Justin!) hence I ordered a small pile of these switches that I now unfortunately cannot use due to the wiring in my home. In the single location we were able to install one of these switches, it's working GREAT!! Using my Nexia account, the driveway lights now turn out automatically 30 minutes prior to dusk and turn off at a preset time. Then during the preset off time until a preset time in the morning, the switch is part of a scene activated when there is motion detected on the driveway and then sends us an alert email and text message. After a ""no motion"" message is passed back to the system this switch is then sent a message to again turn off, but only during those very late night hours. I have yet to see an off the shelf light that could be programmed to do this elaborate programming, very nifty! The quality of this switch is superb, the functionality is superb, but I'm docking a star due to the lack of feasibility in many wiring configurations.","GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721",B0013V1SRY
Probably the best option for Z-Wave smart switch,4.0 ,"Great product. I replaced over a dozen switches in my home to enable voice command using the wink hub and Amazon Echo. I chose the GE Smart Switch since it supports 3-way configuration (where you have more than one switch that controls the same light fixture) and uses Z-Wave technology (as opposed to a vendor-specific offering like Lutron Caseta). I love the blue indicator light (easy to see in the dark) that illuminates whenever the light is 'off'. Attaching and removing electrical wires to and from the switch is simple- just tighten the corresponding screw. No soldering the ground wire or fumbling a push-in style switch to release the wire (not sure if that makes the connection less secure though). Be aware, the switch is larger than a standard toggle switch though so it takes up more space in the box and leaves less rooms for all the wires; you may have to spend some time arranging the wires before screwing in the switch or cram really hard. I did that once and the neutral wire detached from the screw nut. I also had to repeatedly remove all the side bars (the three prongs that stick out on the sides) to get them to fit next to each other, but presumably they're useful in certain installations and was only annoying because I had more than a dozen to install. The dimmer function itself is also a little sub-optimal if you're accustomed to a slider to control the brightness. For the smart switch, it's variable depending on how long you toggle the switch (how long you hold the on or off position) and that can result in what feels like a slight delay between the time you press the button to when the light dims or brightens.","GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721",B0013V1SRY
I am not sure why others have bashed this as ...,5.0 ,"I am not sure why others have bashed this as not being well made. It is typical construction, with a very heavy aluminum front plate. The screws for clamping the wires were typical construction and allowed normal tightening without stripping . FYI: Be sure you read the instructions and take note about the pairing distance of 10' or less. The short pairing distance is the design of the Z-Wave interface, not a problem with this device. If you are pairing this to a fixed alarm panel or similar device, you may need to power it up with an extension cord and place it near the Z-Wave host for pairing. Once you have ""registered"" it with the host, you can power it down then install it in the switch box.","GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721",B0013V1SRY
These are an excellent way to save from having to purchase a bunch ...,4.0 ,"These are an excellent way to save from having to purchase a bunch of smart LED lights and instead just change the outlet. For example, say you have a living room with six can lights. If you bought six HUE bulbs so you can remotely control the lights with your phone you would need to spend $60/bulb x 6. With this outlet you need just one outlet. Note the outlet I am reviewing is only an ""on-off"" and does not have a dimmer function (see Dimmer Smart Switch which is $10 more than the standard). The reason I only gave it 4-5 stars is due to its huge size and amount of real estate it takes up in the switch box. It'll be just fine if you are installing it in a stand-alone box but if you are trying to install it a shared box you will not only have trouble but run out of room quickly. The box says you can ""bend"" the side metal plates (and then provides amp instructions for maximum amount of amps) but my electrician tells me that's a bad idea as they need room on the side. I know there are a lot of reviews complaining about the different ""look"" of the switch sticking out horizontal rather than at an angle but the reason for this is the switch is always ""active"" for use by a person in location touching the switch or remotely (e.g., by a phone). The smart bulbs, for example, always have to be on and if I have one installed on a floor lamp and the lamp is switched 'off' I cannot control the light remotely from my phone (for example). However with this outlet even if they have manually been turned off you can still control them remotely (from my phone or iPad, for example) since the switch is always ""on""--hence the reason it's always in the ""middle"" position. Overall, very happy with the product and plan to order many, many more (given space in my box)...","GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721",B0013V1SRY
This was very easy to install and then add to my Smartthings network,5.0 ,"This was very easy to install and then add to my Smartthings network. Had it up and running in very short order. I like that using this outlet allows me to set Smartthings to automatically turn on my living room light at sunset and then turn it off at 11pm. I used to use a plug in timer and it was a pain to keep adjusting the on time as the time it gets dark varies day to day. It's also nice if i want it on to say ""Echo, turn on the living room light"".","GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721",B0013V1SRY
Z-Wave Beaming Relay helps Tie Multiple Distant Z-Wave Items Together,4.0 ,"I bought this because of it's beaming features. I didn't really need a light but I had several Z-Wave deadbolts in my house that were located to far away from one another to complete the Z-Wave mesh network. Since they're battery powered locks, they need a device with ""beaming"" features to serve as a relay-hub and this fit the bill nicely. As others mentioned it's a little tricky to install just because it needs three wires where many switches will only have two. A third neutral connection is required since the switch itself needs to be powered in addition to switching the load off and on to whatever you're actively switching. Pairing it with my Vera controller was something of a pain and I had to consult a few web forums. It seems the initial connection can be hard to make, but once it's made it ""sticks"" just fine. It took me probably 10-12 attempts just repeating the pairing process over and over again until my Vera unit flashed its LEDs at me indicating a proper handshake. After the initial setup, however, the switch has performed exactly as expected. I have it turning an exterior porch light off and on per scene definitions in Vera. My initial reason for buying it, to serve as a hub/relay for my Z-Wave deadbolts, worked great too. Where I had several too far away to consistently report into Vera, with this in the mix I get solid connections to them all.","GE Z-Wave Wireless Smart Lighting Control Duplex Receptacle Outlet, On/Off, In-Wall, White, Works with Amazon Alexa, 12721",B0013V1SRY
