Name,Passes and iterations
Data sizes,[23755]
Number of topics,[10]
Not above,[0.5]
Chunksize,[2000]
Passes,"[5, 10]"
Iterations,"[100, 200]"

Data size = 23755,Number of topics = 10,no_above = 0.5,Chunksize = 2000,Passes = 5,Iterations = 100

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
working,good,network,wire,lamp,power,button,homekit,link,ihome
fi,price,router,box,room,house,perfectly,apple,tp,timer
wi,recommend,thing,wall,remote,strip,remote,update,kasa,power
worked,little,problem,install,christmas,room,program,network,amazon,schedule
support,far,connect,need,living,night,outdoor,android,hub,feature
customer,perfect,want,size,bought,fan,year,wemo,dot,day
item,excellent,need,fit,house,lamp,lighting,worked,wemo,rule
service,highly,ve,way,tree,plugged,ha,connect,siri,sensor
month,expected,know,neutral,cool,nice,z,connected,voice,motion
advertised,buy,access,installation,mini,bed,wave,reset,install,ha

Data size = 23755,Number of topics = 10,no_above = 0.5,Chunksize = 2000,Passes = 5,Iterations = 200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
link,wire,timer,room,ihome,hub,wemo,recommend,perfectly,good
tp,box,power,lamp,working,koogeek,support,amazon,exactly,power
homekit,wall,fi,remote,worked,wink,connect,dot,expected,price
kasa,fit,wi,house,install,doe,review,highly,simple,strip
network,install,schedule,christmas,month,smartthings,tried,little,remote,usb
apple,neutral,rule,living,bought,pair,network,item,install,need
siri,way,setting,bedroom,far,4ghz,working,bought,advertised,port
connection,cover,button,night,excellent,z,problem,thing,worked,better
firmware,need,feature,awesome,buy,wave,issue,amazing,needed,monitor
ha,socket,doe,able,problem,button,android,definitely,minute,nice

Data size = 23755,Number of topics = 10,no_above = 0.5,Chunksize = 2000,Passes = 10,Iterations = 100

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
remote,power,room,support,timer,network,homekit,worked,link,good
button,wire,lamp,customer,power,wemo,apple,working,tp,recommend
lamp,wall,house,service,wemo,connect,hub,christmas,ihome,price
program,box,living,account,sensor,router,doe,bought,kasa,buy
nice,strip,awesome,money,motion,update,siri,month,instruction,highly
come,need,bedroom,company,day,issue,advertised,perfectly,amazon,excellent
rule,usb,thing,tech,schedule,problem,install,amazon,install,far
room,way,want,tried,feature,reset,io,tree,schedule,bought
convenient,fit,night,email,energy,connection,idevices,got,google,item
ha,size,perfect,help,away,connected,exactly,minute,ifttt,remote

Data size = 23755,Number of topics = 10,no_above = 0.5,Chunksize = 2000,Passes = 10,Iterations = 200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
wemo,working,good,usb,remote,link,wire,lamp,instruction,homekit
network,support,price,sensor,button,tp,box,room,connect,ihome
timer,worked,far,motion,power,kasa,power,house,took,hub
update,reset,advertised,install,thing,issue,wall,christmas,minute,apple
setting,month,recommend,perfect,wall,unit,fit,living,review,siri
ha,tried,doe,bulb,plugged,router,neutral,bedroom,thing,amazon
router,customer,little,awesome,need,ve,cord,bought,try,voice
android,problem,expected,charge,want,problem,need,able,amazon,idevices
fi,service,excellent,nice,house,connection,led,timer,got,command
wi,week,dot,z,strip,away,white,night,trying,koogeek

