Name,Passes and iterations
Data sizes,"[1000, 5000, 10000, 20000, 40000]"
Number of topics,"[10, 30, 50, 100]"
Not above,"[0.1, 0.5, 0.9]"
Chunksize,"[500, 1000, 2000, 4000]"
Passes,"[1, 5, 10, 20]"
Iterations,"[100, 200, 400]"

Data size,Topics,no_above,Chunksize,Passes,Iteration
1000,30,0.5,2000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
hub,outlet,switch,advertised,work,switch,switch,wire,switch,switch,switch,switch,switch,switch,switch,switch,switch,switch,switch,home,switch,switch,switch,switch,switch,wire,switch,switch,work,switch
light,wave,wink,worked,great,light,wire,switch,light,work,light,wire,ge,wa,wire,work,work,work,wire,light,installed,screw,work,light,light,work,light,led,great,way
great,controller,work,work,easy,work,neutral,work,wa,great,hub,light,work,light,light,light,wa,great,neutral,control,box,plate,device,work,turn,way,work,light,product,ge
switch,module,wave,great,hub,like,light,wa,work,unit,wa,dimmer,like,work,house,home,wire,awesome,light,house,issue,wire,easy,wave,work,turn,outlet,blue,switch,wire
install,box,ge,product,smartthings,wave,wa,great,wire,wiring,work,use,light,wave,product,box,zwave,hub,work,flawlessly,work,work,install,great,little,dimmer,thing,like,issue,setup
work,work,light,install,install,toggle,box,light,outlet,light,need,easy,doe,hub,installation,wire,dimmer,smart,wave,wa,wire,face,pretty,use,way,house,box,work,wave,wa
easy,light,controller,wink,wink,unit,home,easy,hub,wire,install,bulb,control,wire,neutral,great,thing,light,easy,installation,recommended,use,price,easy,box,older,dimmer,wave,wink,work
simple,fit,wa,easy,alexa,normal,work,box,turn,wa,smart,box,add,control,outdoor,wa,wink,smartthings,wa,device,highly,like,reliable,blue,wave,ge,great,device,wire,light
problem,switch,turn,connected,setup,click,white,install,great,problem,use,way,wave,turn,wiring,product,great,issue,good,turn,connects,wa,zwave,doe,installed,neutral,home,neutral,hub,love
smartthings,home,vera,price,samsung,installation,connected,expected,smart,wave,neutral,installed,turn,easy,work,easy,paired,thing,need,switch,echo,receptacle,use,wa,great,defective,room,box,wall,neutral

Data size,Topics,no_above,Chunksize,Passes,Iteration
5000,30,0.5,2000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
advertised,switch,work,work,switch,wa,switch,work,little,light,bought,controller,switch,switch,product,belkin,switch,wemo,device,working,wifi,wemo,light,wink,wi,app,outlet,outlet,switch,lamp
wa,hub,great,firmware,wire,work,support,time,software,turn,month,heater,wire,ge,easy,app,link,wa,network,worked,help,app,switch,wa,fi,work,plug,plug,device,room
timer,smartthings,hub,updated,load,connect,wa,brand,switch,christmas,reliable,switch,box,wa,great,product,work,device,wifi,month,good,echo,insteon,pump,iphone,io,dot,device,ha,turn
