Name,Passes and iterations
Data sizes,"[1000, 5000, 10000, 20000, 40000]"
Number of topics,"[10, 30, 50, 100]"
Not above,"[0.1, 0.5, 0.9]"
Chunksize,"[500, 1000, 2000, 4000]"
Passes,"[1, 5, 10, 20]"
Iterations,"[100, 200, 400]"

Data size,Topics,no_above,Chunksize,Passes,Iteration
1000,50,0.9,2000,5,200

Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50
switch,switch,work,controller,switch,switch,switch,switch,switch,switch,switch,work,light,switch,switch,switch,neutral,work,outlet,great,switch,switch,light,box,switch,wire,wire,switch,switch,work,switch,switch,switch,switch,plug,work,switch,work,hub,work,hub,switch,wire,plate,easy,switch,work,home,outlet,work
pair,light,switch,switch,smartthings,wire,light,light,wire,work,work,wink,switch,light,wave,wire,easily,wink,wave,work,light,light,device,switch,device,wave,work,light,work,great,good,wa,work,light,work,great,wave,super,work,light,work,wa,switch,work,install,light,great,awesome,work,great
install,wire,wa,vera,work,work,work,wa,light,light,wa,great,plug,wa,box,light,worked,great,switch,switch,dimmer,box,switch,neutral,issue,device,device,work,led,switch,home,smartthings,light,worked,switch,controller,need,easy,light,wave,wink,work,neutral,cover,work,wire,connected,work,wa,light
easy,way,great,work,hub,like,wa,smart,neutral,wa,receptacle,outlet,like,wire,light,work,work,control,home,product,control,home,work,wire,wa,switch,neutral,great,zwave,home,product,hub,way,wire,pretty,house,hub,problem,switch,box,easy,smartthings,light,switch,wa,wa,hardware,wire,isn,easy
controller,device,wire,outlet,wa,light,turn,work,box,wave,doe,perfect,dimmer,ge,work,wa,home,turn,module,use,wa,outlet,use,older,wave,easy,switch,wink,use,hub,installed,outlet,working,setup,item,install,work,switch,wa,control,great,hub,connect,face,pulse,neutral,store,connect,wiring,install
wa,add,need,wire,love,box,wave,wink,wa,going,nexia,far,zwave,work,wa,neutral,pick,installed,night,easy,lighting,wave,outlet,fit,buy,work,wave,hub,wa,product,light,product,wa,work,worked,home,neutral,thing,outlet,smartthings,install,home,white,fit,installation,turn,switch,switch,ge,alexa
wire,work,vera,great,wire,neutral,like,hub,add,home,including,wa,turn,wave,install,great,wire,device,light,problem,master,control,smartthings,wa,hub,outlet,expected,led,kitchen,box,easy,easy,great,flawlessly,lamp,wiring,light,love,smartthings,ge,switch,jasco,box,light,advertised,box,light,box,device,turn
box,great,issue,easy,installed,wa,house,bulb,way,dimmer,ground,paired,wa,way,turn,sure,tad,easily,controller,light,bulb,wire,turn,thing,control,pairing,use,installed,light,light,wire,room,wave,easy,hub,function,wire,great,wave,fit,wa,product,home,box,light,work,outlet,extra,control,schedule
nice,smart,device,lite,great,control,great,wire,need,control,use,hand,toggle,box,great,way,kitchen,hub,work,house,smartthings,minute,smart,work,box,need,little,room,wave,smartthings,box,work,use,perfect,control,installed,box,turn,install,switch,smart,support,instruction,great,adt,easy,loud,turn,set,wall
